segment_id,city_name,admin_ward,latitude,longitude,elevation_m,drainage_density_km_per_km2,storm_drain_proximity_m,historical_rainfall_intensity_mm_hr,return_period_years,risk_labels,land_use_Commercial,land_use_Green,land_use_Industrial,land_use_Informal,land_use_Institutional,land_use_Mixed,land_use_Residential,land_use_Roads,land_use_Water,soil_group_A,soil_group_B,soil_group_C,soil_group_D,storm_drain_type_CurbInlet,storm_drain_type_GratedInlet,storm_drain_type_Manhole,storm_drain_type_OpenChannel,is_monitor
SEG-00011,"Delhi, India",Ward J,0.3741596499270999,0.5728688229004134,-0.7183302552475109,1.5242864047102025,-0.8846399759344833,-0.7285282763321926,-0.8412390880739781,monitor,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
SEG-00012,"Athens, Greece",District 18,0.7575584082704185,-0.10083235454356547,2.276921081339954,-1.5153825338816904,0.8228270158398207,0.028466119619698357,0.4411875988702223,monitor,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
SEG-00013,"Sydney, Australia",Zone II,-2.1818675983589753,1.5021502563801437,-1.1654879339415887,2.0822003238188405,-0.5384845516635152,-1.0826777013389253,-0.6739660419508215,low_lying,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
SEG-00014,"Athens, Greece",District 29,0.7632513913752658,-0.10006237182834404,-0.5326511140289453,1.3415215001746137,1.5256274226929987,-0.6134297132050044,-0.3951776317455606,monitor,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
SEG-00015,"Nairobi, Kenya",Borough North,-0.8453746300870894,0.06530656796007644,1.5248030409609534,-0.6881308607206057,-0.13988133583633985,-0.48062367882747975,1.835129649896527,monitor,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
SEG-00016,"Miami, USA",District 20,0.25890772331472506,-1.4069261728591782,-0.6827809259952222,-1.3662848486026578,-0.7436136919722371,0.4268842227522725,0.4411875988702223,monitor,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
SEG-00017,"Lima, Peru",Borough Central,-1.2863185897573577,-1.367575876506972,-0.8132263986234551,1.4136655414386619,0.13168167377691137,-0.07335184006973745,-0.6739660419508215,monitor,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
SEG-00018,"Miami, USA",District 28,0.26056526679336867,-1.4074362128499929,-0.980690181051592,0.6441291012888154,0.42538930649167206,2.3171567787257072,-0.3951776317455606,ponding_hotspot|extreme_rain_history|low_lying|event_2024-09-25,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
SEG-00019,"Hong Kong, China",Zone III,0.11528240323867948,1.0367522378246636,-0.6146202285858753,1.1924238148955808,0.3286522687324455,1.7637983021526877,0.4411875988702223,extreme_rain_history,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
SEG-00020,"Kuala Lumpur, Malaysia",Zone VI,-0.6651682247019716,0.8805590637068563,0.8925538132673562,1.4136655414386619,0.018627545311308953,0.9138396821365298,0.4411875988702223,monitor,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
SEG-00021,"Singapore, Singapore",District 14,-0.7369038049178644,0.9067654724462537,0.02996308824102837,-0.5101755589359537,-0.9091156119940467,0.9138396821365298,0.4411875988702223,monitor|event_2022-09-04,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
SEG-00022,"Rome, Italy",Sector 21,0.9224531770143172,-0.24208861088289094,-0.14954098721089185,-0.7554652992337175,-0.6865038744999225,-0.5735879028917471,-0.8412390880739781,monitor,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
SEG-00023,"Chennai, India",District 3,-0.25479672454604996,0.6100962473829543,0.02996308824102837,-0.9141821900146233,0.4964852017123086,0.47115290087811407,-0.3951776317455606,monitor,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
SEG-00024,"Brisbane, Australia",Zone IX,-1.917795237119581,1.5268013090880883,-0.08608102755391357,0.6297002930360057,-0.30188673642106895,-0.7418088797699451,0.4411875988702223,monitor,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
SEG-00025,"Montreal, Canada",Sector 10,1.0651565667762057,-1.3234845960466697,-0.9524857545373795,-1.4528576981195156,-1.234291919642532,-0.5248923569533213,-0.8412390880739781,ponding_hotspot|low_lying|event_2024-07-31,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
SEG-00026,"Hanoi, Vietnam",Ward G,0.06353111703419602,0.931995307314719,0.1060616280741592,-0.6737020524677964,0.08506141461583823,-0.27256089163602454,-0.3951776317455606,monitor,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
SEG-00027,"Vancouver, Canada",Ward K,1.2265478039445952,-1.9466950710712896,-0.6366549368001039,-0.5390331754415731,-0.8450127556475711,-0.5337460925784897,0.4411875988702223,monitor,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True
SEG-00028,"Seoul, South Korea",Zone V,0.7425627416219318,1.1968529899762828,2.134429968221276,5.884174813409873e-05,-0.39745826770126896,0.40917675150193594,2.113918060101788,monitor,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True
SEG-00029,"Lima, Peru",Borough South,-1.2862549702651007,-1.3675739652558663,1.5885567967274545,0.1343112096895425,-1.0781140514529368,0.9315471533868663,-0.3951776317455606,monitor,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
SEG-00030,"San Francisco, USA",Sector 12,0.7516196616350336,-1.9373332224722917,1.677283221803415,2.7086510821283247,-0.7354551466190493,-0.13975485725849981,0.4411875988702223,monitor,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
SEG-00031,"Rotterdam, Netherlands",Borough Riverside,1.3299283742147139,-0.3410710608233083,-0.8082318647615634,5.884174813409873e-05,0.0711010088163934,-1.2331912069667865,-0.6739660419508215,monitor,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
SEG-00032,"Bengaluru, India",Zone II,-0.26259839720099754,0.5779125642724899,-0.24473092669635907,-1.2412351770783079,-1.1014241810334735,-0.04679063319423244,-0.3951776317455606,monitor,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
SEG-00033,"New Orleans, USA",Sector 15,0.432770999388274,-1.532605015967217,-0.7735639238378438,-0.4476507231737787,-1.2948982565519271,-0.9764328738369055,-0.3951776317455606,monitor,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
SEG-00034,"Nairobi, Kenya",Borough Hillside,-0.8472931157661276,0.06477136735437582,-1.1654879339415887,1.4232847469405348,-0.614242472800259,-1.2110568679038656,-0.8412390880739781,low_lying,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
SEG-00035,"Dhaka, Bangladesh",District 11,0.17586677521694874,0.7387015177104356,0.056997677783810284,0.5527466490210214,0.8857643657072695,-0.6532715235182619,-0.8412390880739781,monitor,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True
SEG-00036,"Pune, India",Borough Old Town,-0.03350489197436706,0.5316260358809112,-0.6724980621619155,-0.7795133129884001,0.1176955960285894,-0.9454447991488162,-0.8412390880739781,monitor,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
SEG-00037,"Washington DC, USA",Borough Harbor,0.7994120970811622,-1.3664172685422347,-1.124650274717885,0.167978428946098,-1.234291919642532,-0.015802558506143215,-0.8412390880739781,low_lying,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
SEG-00038,"Shanghai, China",Ward A,0.4812720455134299,1.128740049400798,-0.6166768013525367,-0.2552666131363174,-0.424264916718886,-0.5780147707043313,-0.6739660419508215,monitor,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True
SEG-00039,"Karachi, Pakistan",District 11,0.22501264887744787,0.44470267508850586,2.6895577171650746,1.5820016377214405,-1.1480444401945467,-0.9277373278984796,0.4411875988702223,monitor,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
SEG-00040,"Colombo, Sri Lanka",Sector 9,-0.5094512734628911,0.6059426586393752,-0.78766613709495,5.884174813409873e-05,-1.2459469844328002,1.2945503140187673,1.835129649896527,monitor,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
SEG-00041,"Amsterdam, Netherlands",Sector 14,1.344428422516449,-0.3364829013595521,-0.38634065148646773,-1.0344222587880367,0.0711010088163934,-0.3389639088247869,1.835129649896527,monitor,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
SEG-00042,"Bogotá, Colombia",District 13,-0.6013680203569072,-1.3308790379646331,2.1729172585687953,-0.46688913417752487,-0.7727513539479078,-0.7949312935209549,-0.3951776317455606,monitor,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
SEG-00043,"Lima, Peru",Ward A,-1.2850761481233681,-1.366484916772163,0.9859809760956852,-0.7554652992337175,0.4545269684673428,-0.11762051819557902,-0.6739660419508215,monitor,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
SEG-00044,"Montreal, Canada",Sector 1,1.069927578654039,-1.3232665122362837,0.7530006612439087,0.4373161829985444,-0.009344610185335004,-0.8391999716467965,0.4411875988702223,monitor,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
SEG-00045,"Ahmedabad, India",Ward E,0.15156069249489504,0.5147544918926631,2.595396064062937,1.6397168707326788,-0.4324234620720738,0.22767517118598543,0.4411875988702223,monitor,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
SEG-00046,"Paris, France",Ward E,1.2050947792884747,-0.36843284600419157,1.2057404660189242,-1.3759040541045309,-0.5513051229328104,-0.18402353538434138,0.4411875988702223,monitor,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
SEG-00047,"Vancouver, Canada",Ward D,1.2273775575924795,-1.9464688267216428,-0.7136295174951421,0.15835922344422512,-0.9196051703052882,-0.6178565810175887,-0.8412390880739781,monitor,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
SEG-00048,"Ahmedabad, India",Ward E,0.14507935955320178,0.5144050095687545,-0.5679066471717108,-1.0344222587880367,-1.1282308300510906,-0.6267103166427569,2.113918060101788,monitor,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True
SEG-00049,"Dhaka, Bangladesh",Borough East,0.17648001802687588,0.740186874170139,0.22328627577385504,5.884174813409873e-05,-0.5384845516635152,1.1440368083909058,2.113918060101788,monitor,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
SEG-00050,"Shenzhen, China",Zone VII,0.1267667648688738,1.0354768926542286,0.02996308824102837,1.6349072679817422,-0.01633764905949591,1.6309922677751632,0.4411875988702223,monitor,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
SEG-00051,"Washington DC, USA",Borough Hillside,0.7996286079191192,-1.366491304374543,-0.513554366909947,1.7791953505098388,-1.1037551939915273,-0.7550894832076976,-0.6739660419508215,monitor,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
SEG-00052,"Hong Kong, China",Ward E,0.12094875207377802,1.0381844690480384,-0.36430594327223925,0.05254796292362137,-0.0524683499093277,0.8562904005729356,1.835129649896527,monitor,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
SEG-00053,"Mexico City, Mexico",Sector 11,0.0006685944531398805,-1.6455891657683879,0.5373543168539923,-0.5101755589359537,-0.553636135890864,-0.1618891963214206,1.835129649896527,monitor,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
SEG-00054,"Kuala Lumpur, Malaysia",District 26,-0.6671157585093072,0.8809794886540466,-0.08314306645868305,0.9038476498393886,-0.18300507556033238,1.5336011758983115,1.835129649896527,monitor,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
SEG-00055,"Amsterdam, Netherlands",Ward K,1.3476532966245875,-0.3370106329971157,-0.5253062112908691,5.884174813409873e-05,0.0711010088163934,-0.2858414950737769,0.4411875988702223,monitor,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
SEG-00056,"Mexico City, Mexico",Sector 26,0.0022532721338996867,-1.6444368070918056,2.4808155813489488,1.0096589103599927,-0.5897668367406957,-0.2681340238234403,2.113918060101788,monitor,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True
SEG-00057,"Singapore, Singapore",District 14,-0.7367809026961671,0.9073571555517383,0.02996308824102837,0.9856108966053096,-0.5046848637717373,2.5329665845891847,1.835129649896527,ponding_hotspot|extreme_rain_history|event_2022-10-11,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
SEG-00058,"Tehran, Iran",Borough Hillside,0.6665978766645215,0.24913891014951398,-0.9577740845087943,0.6441291012888154,-0.8729849111442151,-1.2376180747793706,0.4411875988702223,low_lying,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
SEG-00059,"Bogotá, Colombia",Sector 26,-0.6023968150529128,-1.3284983358059936,-0.9718762977659005,5.884174813409873e-05,0.5815671746812672,-1.2818867529052123,-0.3951776317455606,low_lying,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
SEG-00060,"Taipei, Taiwan",District 23,0.22574920303763993,1.1306087500214355,0.4033832909114828,0.7980363893187848,-1.1900026734395126,-0.09548617913265824,-0.6739660419508215,monitor,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
SEG-00061,"San Francisco, USA",Borough Old Town,0.7483670076971572,-1.9380184688638165,0.8784516000102497,1.206852623148391,-0.3555000344563032,1.6575534746506684,-0.6739660419508215,extreme_rain_history,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
SEG-00062,"Mexico City, Mexico",Borough Old Town,0.004655552344086723,-1.6438400818041274,-0.6445874317572261,0.730701950805673,0.03960666193379184,0.19226022868531198,-0.6739660419508215,monitor,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
SEG-00063,"Jakarta, Indonesia",Sector 9,-1.0501892596414095,0.9452009459418734,-0.8899071832089704,-1.7125762466700887,0.1934535171653331,0.4755797686906983,-0.8412390880739781,low_lying|sparse_drainage,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
SEG-00064,"Kuala Lumpur, Malaysia",District 13,-0.6632230229274712,0.8809595462576403,0.9281031425196451,1.6397168707326788,-1.0140111951064612,0.0904422689958765,1.835129649896527,monitor,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
SEG-00065,"Barcelona, Spain",District 11,0.9039721850115782,-0.37238057288524523,-0.8035311270091946,0.7210827453038001,-0.1212332321719105,-0.5248923569533213,0.4411875988702223,monitor,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
SEG-00066,"Manila, Philippines",Ward B,-0.19449947899649986,1.1224561072453962,-0.3393332739627802,5.884174813409873e-05,-0.8450127556475711,1.54245491152348,0.4411875988702223,monitor,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
SEG-00067,"Karachi, Pakistan",Sector 16,0.22483304143628563,0.4440685923861219,2.0289571649025024,0.047738360172684506,-0.15852943950076906,-1.3261554310310537,-0.6739660419508215,monitor,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
SEG-00068,"Chennai, India",Borough Central,-0.258658161792467,0.6110014762619506,-1.0723545672227826,5.884174813409873e-05,0.0711010088163934,0.28079758493699514,0.4411875988702223,ponding_hotspot|low_lying|event_2024-07-21,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
SEG-00069,"Lagos, Nigeria",Zone VI,-0.5275567672663164,-0.35594110996112854,-0.8787429310470947,0.5623658545228943,-1.2307954002054515,1.8966043365302125,0.4411875988702223,ponding_hotspot|extreme_rain_history|low_lying|event_2023-05-16,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
SEG-00070,"Accra, Ghana",Sector 7,-0.5617924821489504,-0.400994617335049,-1.1654879339415887,1.1250893763824699,0.13634369969301877,0.8695710040106882,-0.6739660419508215,low_lying,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
SEG-00071,"Durban, South Africa",Ward G,-2.0132010733506704,-0.009419779254189561,-0.20683122856788602,0.15354962069328867,-1.0408178441240785,-0.5071848857029847,2.113918060101788,monitor,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
SEG-00072,"Seoul, South Korea",Sector 28,0.7458696460078674,1.19829895202997,-0.8070566803234712,-1.2893312045876733,0.08739242757389175,-0.8657611785223015,0.4411875988702223,monitor,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
SEG-00073,"Barcelona, Spain",Ward B,0.8997665479012664,-0.37235532425221624,-0.5693756277193261,-1.5442401503873098,1.8927619635864497,-0.05564436881940057,-0.6739660419508215,monitor,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
SEG-00074,"Kuala Lumpur, Malaysia",Ward I,-0.6634564716881253,0.8818062933676037,2.1843753068401943,0.5671754572738308,1.6608261742601111,2.5329665845891847,1.835129649896527,extreme_rain_history,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
SEG-00075,"Shanghai, China",Zone I,0.4816310149186137,1.1280989755430535,-0.575251549909787,5.884174813409873e-05,-0.3193693336064714,0.2498095102489062,1.835129649896527,monitor,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
SEG-00076,"Auckland, New Zealand",District 28,-2.3039383889812868,1.7986060248725764,1.0879282261001826,5.884174813409873e-05,-0.21330824401503004,-0.32125643757445,-0.3951776317455606,monitor,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
SEG-00077,"Tokyo, Japan",Sector 19,0.6635284304992021,1.3578989563918742,1.1951638060760945,5.884174813409873e-05,1.4615245663465228,0.9315471533868663,0.4411875988702223,monitor,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
SEG-00078,"Tehran, Iran",Zone III,0.6673133197906272,0.24758825680170335,0.8076467376151955,2.0629619128150947,-0.7494412243673713,-0.8613343107097173,-0.6739660419508215,monitor,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
SEG-00079,"Brisbane, Australia",Borough East,-1.9106099984773879,1.5262170446546592,0.02996308824102837,0.18240723719890772,0.5174643183347917,-0.4717699432023116,2.113918060101788,monitor,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
SEG-00080,"Dhaka, Bangladesh",Borough Delta,0.17844956295114656,0.7386146312292452,0.012634465245830232,2.0629619128150947,0.9428741831795842,1.759371434340104,2.113918060101788,extreme_rain_history,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
SEG-00081,"Buenos Aires, Argentina",Ward J,-2.214087495876347,-1.1323607680185723,1.4331386547897629,1.1298989791334062,-0.5757807589923737,-1.0384090232130836,-0.8412390880739781,monitor,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
SEG-00082,"Colombo, Sri Lanka",Ward E,-0.513682440195819,0.6056453333522219,-0.5726073849240796,-1.6163841916513577,0.4393753842399942,0.3737618090012625,-0.3951776317455606,sparse_drainage,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
SEG-00083,"Accra, Ghana",Sector 8,-0.5636397794572319,-0.4011564324039984,-1.1126046342274403,1.139518184635279,0.0711010088163934,-0.18845040319692527,-0.6739660419508215,low_lying,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
SEG-00084,"Paris, France",Borough Delta,1.203219456673315,-0.36962863534734847,1.9731359040931233,-1.1931391495689423,-1.31587737317441,-1.0339821554004993,1.835129649896527,monitor,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
SEG-00085,"Doha, Qatar",Zone VIII,0.23736628597515316,0.2513743320760732,0.2999670603593703,-0.8564669570033848,0.03494463601768445,-0.7550894832076976,-0.3951776317455606,monitor,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True
SEG-00086,"Istanbul, Türkiye",Sector 21,0.8813151358939628,-0.033978966168852494,1.7889257434221728,-1.573097766892929,-1.2459469844328002,-0.5957222419546678,-0.3951776317455606,monitor,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
SEG-00087,"San Francisco, USA",Ward G,0.7487264680566222,-1.936938083880192,-0.2106505779916856,0.5816042655266405,-1.2156438159781027,-0.4230743972638858,-0.8412390880739781,monitor,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
SEG-00088,"Singapore, Singapore",Ward F,-0.7403440443039706,0.907150891320559,-0.9906792487753755,1.4569519661970907,-0.15037089414758123,0.4357379583774406,0.4411875988702223,low_lying,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
SEG-00089,"Houston, USA",District 11,0.423002441144745,-1.5982876750214958,0.30290502145460063,-2.063677247488456,-0.4930297989814689,-0.48947741445264814,-0.8412390880739781,sparse_drainage,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
SEG-00090,"Cape Town, South Africa",District 5,-2.1844296432747976,-0.16592815891620563,1.6235185337606974,-1.0296126560371,0.01629653235325526,-0.9542985347739846,-0.6739660419508215,monitor,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
SEG-00091,"Amsterdam, Netherlands",Sector 21,1.3520755673114264,-0.3371003989289853,0.02996308824102837,-0.5438427781925096,-0.47671270827509327,0.07273479774553993,2.113918060101788,monitor,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
SEG-00092,"Hamburg, Germany",District 8,1.4004657395947713,-0.2726504339678338,1.1425743024714694,5.884174813409873e-05,0.0711010088163934,-0.09105931132007401,-0.3951776317455606,monitor,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
SEG-00093,"New Orleans, USA",Sector 5,0.4320107566840197,-1.5326253858803183,0.02996308824102837,-0.12540733886103062,0.7307520039967014,-0.9011761210229746,-0.6739660419508215,monitor,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True
SEG-00094,"Rome, Italy",Sector 1,0.9205619802107358,-0.2414030878629165,0.22651803297860854,5.884174813409873e-05,-0.8834744694554566,-0.8037850291461233,1.835129649896527,monitor,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
SEG-00095,"Singapore, Singapore",Zone II,-0.7425077616464089,0.9089551123644172,-0.26529665436297234,0.12950160693860563,-0.8391852232524369,1.1661711474538266,-0.3951776317455606,monitor,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
SEG-00096,"Shanghai, China",Zone V,0.4839312584640493,1.1284668536588551,-0.8097008453091786,-0.4091739011662864,-0.48137473419120064,-0.8170656325838758,0.4411875988702223,monitor,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
SEG-00097,"Hong Kong, China",Sector 11,0.1157441457400364,1.0383681754865615,-0.8023559425711024,0.4132681692438618,0.9591912738859598,-0.5071848857029847,-0.8412390880739781,monitor,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
SEG-00098,"Hong Kong, China",Ward K,0.11920565981165596,1.0364387674952746,-0.5849468215240475,-0.7025596689734154,0.0711010088163934,1.1130487337028165,-0.8412390880739781,monitor,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
SEG-00099,"Taipei, Taiwan",Borough West,0.22937907351481365,1.1295350921387421,2.6895577171650746,1.206852623148391,0.0711010088163934,-0.1131936503829948,-0.8412390880739781,monitor,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
SEG-00100,"Shanghai, China",Sector 20,0.48243507529245433,1.129189721519515,-0.7430091284474468,0.9519436773487537,-0.6072494339260981,0.29850505618733203,-0.6739660419508215,monitor,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
SEG-00101,"Athens, Greece",Borough Harbor,0.7594220298085461,-0.10200620222106718,-0.468603562152921,0.27859929221763857,-0.771585847468881,-0.7418088797699451,-0.3951776317455606,monitor,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
SEG-00102,"Riyadh, Saudi Arabia",Zone IV,0.21455753198468364,0.18873868509718722,0.316713438602184,5.884174813409873e-05,0.5594225515797574,-0.8834686497726381,-0.3951776317455606,monitor,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
